Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,LogFare,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Teen,AgeGroup_YoungAdult,AgeGroup_Adult,AgeGroup_Senior
0,3,22.0,1,0,7.25,2,0,2.1102132003465894,1,0,1,0,1,0,0,0,1,0,0
1,1,38.0,1,0,71.2833,2,0,4.2805931204649,0,0,0,0,0,1,0,0,0,1,0
1,3,26.0,0,0,7.925,1,1,2.188856327665703,0,0,1,1,0,0,0,0,1,0,0
1,1,35.0,1,0,53.1,2,0,3.9908341858524357,0,0,1,0,0,1,0,0,1,0,0
0,3,35.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,8.4583,1,1,2.246892662898172,1,1,0,0,1,0,0,0,1,0,0
0,1,54.0,0,0,51.8625,1,1,3.967694202798607,1,0,1,0,1,0,0,0,0,1,0
0,3,2.0,3,1,21.075,5,0,3.0944457464900235,1,0,1,0,0,0,0,0,0,0,0
1,3,27.0,0,2,11.1333,3,0,2.495953738718064,0,0,1,0,0,1,0,0,1,0,0
1,2,14.0,1,0,30.0708,2,0,3.436268471383741,0,0,0,0,0,1,0,1,0,0,0
1,3,4.0,1,1,16.7,3,0,2.8735646395797834,0,0,1,1,0,0,0,0,0,0,0
1,1,58.0,0,0,26.55,1,1,3.3160025355989236,0,0,1,1,0,0,0,0,0,1,0
0,3,20.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,39.0,1,5,31.275,7,0,3.4742929367327062,1,0,1,0,1,0,0,0,0,1,0
0,3,14.0,0,0,7.8542,1,1,2.180891922715322,0,0,1,1,0,0,0,1,0,0,0
1,2,55.0,0,0,16.0,1,1,2.833213344056216,0,0,1,0,0,1,0,0,0,1,0
0,3,2.0,4,1,29.125,6,0,3.405355391810819,1,1,0,0,0,0,0,0,0,0,0
1,2,28.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
0,3,31.0,1,0,18.0,2,0,2.9444389791664403,0,0,1,0,0,1,0,0,1,0,0
1,3,28.0,0,0,7.225,1,1,2.1071782966514356,0,0,0,0,0,1,0,0,1,0,0
0,2,35.0,0,0,26.0,1,1,3.295836866004329,1,0,1,0,1,0,0,0,1,0,0
1,2,34.0,0,0,13.0,1,1,2.6390573296152584,1,0,1,0,1,0,0,0,1,0,0
1,3,15.0,0,0,8.0292,1,1,2.2004637699272855,0,1,0,1,0,0,0,1,0,0,0
1,1,28.0,0,0,35.5,1,1,3.597312260588446,1,0,1,0,1,0,0,0,1,0,0
0,3,8.0,3,1,21.075,5,0,3.0944457464900235,0,0,1,1,0,0,0,0,0,0,0
1,3,38.0,1,5,31.3875,7,0,3.4777725458882283,0,0,1,0,0,1,0,0,0,1,0
0,3,28.0,0,0,7.225,1,1,2.1071782966514356,1,0,0,0,1,0,0,0,1,0,0
0,1,19.0,3,2,263.0,6,0,5.575949103146316,1,0,1,0,1,0,0,0,1,0,0
1,3,28.0,0,0,7.8792,1,1,2.1837114628556327,0,1,0,1,0,0,0,0,1,0,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,1,0,0
0,1,40.0,0,0,27.7208,1,1,3.357621598945279,1,0,0,0,0,0,1,0,0,1,0
1,1,28.0,1,0,146.5208,2,0,4.993969182787072,0,0,0,0,0,1,0,0,1,0,0
1,3,28.0,0,0,7.75,1,1,2.169053700369523,0,1,0,1,0,0,0,0,1,0,0
0,2,66.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,0,0,1
0,1,28.0,1,0,82.1708,2,0,4.420896324687287,1,0,0,0,1,0,0,0,1,0,0
0,1,42.0,1,0,52.0,2,0,3.970291913552122,1,0,1,0,1,0,0,0,0,1,0
1,3,28.0,0,0,7.2292,1,1,2.1076888046179385,1,0,0,0,1,0,0,0,1,0,0
0,3,21.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,18.0,2,0,18.0,3,0,2.9444389791664403,0,0,1,1,0,0,0,1,0,0,0
1,3,14.0,1,0,11.2417,2,0,2.5048481563289,0,0,0,1,0,0,0,1,0,0,0
0,3,40.0,1,0,9.475,2,0,2.348991465808201,0,0,1,0,0,1,0,0,0,1,0
0,2,27.0,1,0,21.0,2,0,3.091042453358316,0,0,1,0,0,1,0,0,1,0,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,0,0,0,1,0,0,0,1,0,0
1,2,3.0,1,2,41.5792,4,0,3.7513658711253766,0,0,0,1,0,0,0,0,0,0,0
1,3,19.0,0,0,7.8792,1,1,2.1837114628556327,0,1,0,1,0,0,0,0,1,0,0
0,3,28.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,1,0,15.5,2,0,2.803360380906535,1,1,0,0,1,0,0,0,1,0,0
1,3,28.0,0,0,7.75,1,1,2.169053700369523,0,1,0,1,0,0,0,0,1,0,0
0,3,28.0,2,0,21.6792,3,0,3.1214482048688246,1,0,0,0,1,0,0,0,1,0,0
0,3,18.0,1,0,17.8,2,0,2.9338568698359038,0,0,1,0,0,1,0,1,0,0,0
0,3,7.0,4,1,39.6875,6,0,3.705920919968788,1,0,1,0,0,0,0,0,0,0,0
0,3,21.0,0,0,7.8,1,1,2.174751721484161,1,0,1,0,1,0,0,0,1,0,0
1,1,49.0,1,0,76.7292,2,0,4.353230991152628,0,0,0,0,0,1,0,0,0,1,0
1,2,29.0,1,0,26.0,2,0,3.295836866004329,0,0,1,0,0,1,0,0,1,0,0
0,1,65.0,0,1,61.9792,2,0,4.142804513146981,1,0,0,0,1,0,0,0,0,0,1
1,1,28.0,0,0,35.5,1,1,3.597312260588446,1,0,1,0,1,0,0,0,1,0,0
1,2,21.0,0,0,10.5,1,1,2.4423470353692043,0,0,1,1,0,0,0,0,1,0,0
0,3,28.5,0,0,7.2292,1,1,2.1076888046179385,1,0,0,0,1,0,0,0,1,0,0
1,2,5.0,1,2,27.75,4,0,3.3586377672433594,0,0,1,1,0,0,0,0,0,0,0
0,3,11.0,5,2,46.9,8,0,3.8691155044168695,1,0,1,0,0,0,0,0,0,0,0
0,3,22.0,0,0,7.2292,1,1,2.1076888046179385,1,0,0,0,1,0,0,0,1,0,0
1,1,38.0,0,0,80.0,1,1,4.394449154672439,0,0,1,1,0,0,0,0,0,1,0
0,1,45.0,1,0,83.475,2,0,4.436455632600354,1,0,1,0,1,0,0,0,0,1,0
0,3,4.0,3,2,27.9,6,0,3.3638415951183864,1,0,1,0,0,0,0,0,0,0,0
0,1,28.0,0,0,27.7208,1,1,3.357621598945279,1,0,0,0,1,0,0,0,1,0,0
1,3,28.0,1,1,15.2458,3,0,2.7878344138303452,1,0,0,0,0,0,0,0,1,0,0
1,2,29.0,0,0,10.5,1,1,2.4423470353692043,0,0,1,0,0,1,0,0,1,0,0
0,3,19.0,0,0,8.1583,1,1,2.2146605719425225,1,0,1,0,1,0,0,0,1,0,0
1,3,17.0,4,2,7.925,7,0,2.188856327665703,0,0,1,1,0,0,0,1,0,0,0
0,3,26.0,2,0,8.6625,3,0,2.2682524139135403,1,0,1,0,1,0,0,0,1,0,0
0,2,32.0,0,0,10.5,1,1,2.4423470353692043,1,0,1,0,1,0,0,0,1,0,0
0,3,16.0,5,2,46.9,8,0,3.8691155044168695,0,0,1,1,0,0,0,1,0,0,0
0,2,21.0,0,0,73.5,1,1,4.310799125385514,1,0,1,0,1,0,0,0,1,0,0
0,3,26.0,1,0,14.4542,2,0,2.737880811060884,1,0,0,0,1,0,0,0,1,0,0
1,3,32.0,0,0,56.4958,1,1,4.05171190165724,1,0,1,0,1,0,0,0,1,0,0
0,3,25.0,0,0,7.65,1,1,2.157559320943788,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,0,1,0,1,0,0,0,1,0,0
0,3,28.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
1,2,0.83,0,2,29.0,3,0,3.4011973816621555,1,0,1,0,0,0,0,0,0,0,0
1,3,30.0,0,0,12.475,1,1,2.600836116795061,0,0,1,1,0,0,0,0,1,0,0
0,3,22.0,0,0,9.0,1,1,2.302585092994046,1,0,1,0,1,0,0,0,1,0,0
1,3,29.0,0,0,9.5,1,1,2.3513752571634776,1,0,1,0,1,0,0,0,1,0,0
1,3,28.0,0,0,7.7875,1,1,2.1733302571367834,0,1,0,1,0,0,0,0,1,0,0
0,1,28.0,0,0,47.1,1,1,3.8732821771117156,1,0,1,0,1,0,0,0,1,0,0
1,2,17.0,0,0,10.5,1,1,2.4423470353692043,0,0,1,1,0,0,0,1,0,0,0
1,3,33.0,3,0,15.85,4,0,2.8243506567983707,0,0,1,0,0,1,0,0,1,0,0
0,3,16.0,1,3,34.375,5,0,3.5660053559634015,1,0,1,0,1,0,0,1,0,0,0
0,3,28.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
1,1,23.0,3,2,263.0,6,0,5.575949103146316,0,0,1,1,0,0,0,0,1,0,0
0,3,24.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
0,3,29.0,0,0,8.05,1,1,2.2027647577118348,1,0,1,0,1,0,0,0,1,0,0
